Id,CO2 Emissions(g/km)
137142,256.19128
137143,390.69153
137144,201.68481
137145,301.65033
137146,342.36633
137147,269.3324
137148,387.661
137149,242.01881
137150,408.20508
137151,217.26239
137152,312.9391
137153,307.70078
137154,269.07892
137155,310.54935
137156,255.4081
137157,185.44916
137158,387.1949
137159,253.60713
137160,266.61902
137161,218.89815
137162,151.06993
137163,273.60135
137164,192.25853
137165,326.42816
137166,234.14195
137167,238.10678
137168,261.12833
137169,169.96437
137170,164.98552
137171,174.70512
137172,273.02545
137173,209.28226
137174,235.99507
137175,297.03967
137176,297.5285
137177,170.33437
137178,154.47847
137179,192.55095
137180,244.0153
137181,245.15366
137182,202.77365
137183,222.10916
137184,192.25769
137185,251.61406
137186,214.32884
137187,161.74965
137188,170.33437
137189,285.46982
137190,279.20792
137191,187.63362
137192,219.0765
137193,182.65834
137194,318.62582
137195,232.46953
137196,166.04825
137197,291.2592
137198,324.64584
137199,159.05035
137200,190.28233
137201,276.63068
137202,236.393
137203,196.64862
137204,232.69682
137205,314.90216
137206,387.3434
137207,186.16931
137208,310.99823
137209,214.3421
137210,205.74672
137211,200.73488
137212,277.11838
137213,274.86877
137214,240.41833
137215,192.25769
137216,230.97119
137217,256.10953
137218,174.13011
137219,217.87523
137220,279.73206
137221,224.35785
137222,206.87422
137223,326.42816
137224,157.2858
137225,272.56354
137226,259.63892
137227,297.6379
137228,215.82219
137229,294.58658
137230,217.3294
137231,175.62177
137232,319.2884
137233,196.43846
137234,211.92839
137235,277.4621
137236,244.0153
137237,258.2405
137238,302.3542
137239,347.31497
137240,203.32452
137241,197.76065
137242,238.44946
137243,329.5477
137244,215.82219
137245,157.29445
137246,303.38803
137247,387.1949
137248,206.5609
137249,307.70078
137250,171.64023
137251,276.7803
137252,261.11243
137253,381.01663
137254,238.01399
137255,177.72227
137256,241.79901
137257,276.45435
137258,239.53722
137259,237.07515
137260,228.05759
137261,158.0651
137262,207.76079
137263,244.21768
137264,222.04291
137265,233.84744
137266,167.20993
137267,311.30167
137268,156.36098
137269,251.29744
137270,200.13843
137271,294.06604
137272,226.76929
137273,325.3482
137274,273.9115
137275,181.47054
137276,311.31714
137277,317.23685
137278,225.27452
137279,284.0857
137280,307.84384
137281,220.79543
137282,195.72699
137283,271.62546
137284,307.8935
137285,297.1556
137286,328.68143
137287,156.7979
137288,244.0153
