Id,CO2 Emissions(g/km)
137142,254.8944
137143,388.87592
137144,205.35014
137145,302.5992
137146,342.84766
137147,267.37912
137148,388.4726
137149,241.78386
137150,405.05136
137151,216.3368
137152,312.0715
137153,307.95233
137154,270.36368
137155,311.43234
137156,256.85422
137157,188.05824
137158,387.88177
137159,240.16722
137160,266.71124
137161,227.19211
137162,152.95601
137163,274.17386
137164,216.22833
137165,326.9253
137166,234.47597
137167,239.02502
137168,260.4926
137169,167.48573
137170,163.45328
137171,172.68805
137172,272.98688
137173,198.07913
137174,233.59892
137175,297.38504
137176,294.65588
137177,172.21002
137178,157.98349
137179,193.29283
137180,240.30873
137181,225.68555
137182,202.21817
137183,226.66896
137184,190.76047
137185,247.67992
137186,213.43863
137187,163.7145
137188,172.21002
137189,285.09393
137190,278.6213
137191,188.12103
137192,205.38219
137193,184.26762
137194,320.7452
137195,232.07315
137196,170.05708
137197,293.83267
137198,331.28568
137199,161.73328
137200,192.5657
137201,272.26712
137202,235.89888
137203,196.88736
137204,232.03456
137205,309.09262
137206,395.24597
137207,185.4286
137208,312.30917
137209,222.05637
137210,202.79128
137211,200.24596
137212,276.54742
137213,272.28592
137214,239.65762
137215,190.76047
137216,233.53178
137217,251.40979
137218,185.119
137219,216.25713
137220,285.40958
137221,228.18513
137222,206.40231
137223,326.9253
137224,157.83626
137225,271.55893
137226,248.87146
137227,295.34033
137228,215.62108
137229,295.1046
137230,216.37035
137231,175.339
137232,325.4199
137233,196.63809
137234,214.07393
137235,276.79147
137236,240.30873
137237,256.66003
137238,299.99646
137239,340.38065
137240,205.28781
137241,198.29063
137242,237.46384
137243,330.03793
137244,215.62108
137245,159.36652
137246,300.84546
137247,387.88177
137248,224.31425
137249,307.95233
137250,171.62468
137251,276.28885
137252,261.1193
137253,377.68484
137254,237.56615
137255,177.94353
137256,242.03363
137257,276.70377
137258,237.66174
137259,232.34111
137260,232.41023
137261,160.90926
137262,207.55717
137263,237.45427
137264,222.7185
137265,233.53178
137266,166.88618
137267,310.24274
137268,154.27263
137269,252.27574
137270,200.94
137271,293.96854
137272,230.98512
137273,325.61438
137274,271.68054
137275,178.76411
137276,310.6201
137277,317.57608
137278,219.86266
137279,282.80322
137280,304.66632
137281,222.56583
137282,195.23856
137283,271.48495
137284,305.1353
137285,295.42398
137286,324.78226
137287,157.59312
137288,240.30873
137289,152.95601
137290,347.97528
137291,202.3598
137292,232.75403
137293,165.6427
137294,201.38818
137295,241.78386
137296,226.00705
137297,183.48636
137298,311.38568
137299,252.12404
137300,278.6213
137301,241.376
137302,291.45944
137303,215.62108
137304,321.90778
137305,255.19193
137306,276.28885
137307,352.92197
137308,284.8267
137309,254.71109
137310,324.96823
137311,180.0755
137312,287.47586
137313,276.21774
137314,264.99368
137315,187.08163
137316,381.53235
137317,310.06512
137318,247.7166
137319,208.15689
137320,219.65729
137321,158.28006
137322,149.94983
137323,271.48495
137324,220.04143
137325,193.89507
137326,297.23175
137327,238.34045
137328,159.73947
137329,215.22226
137330,255.19193
137331,207.28328
137332,172.21002
137333,309.85846
137334,160.36755
137335,200.24583
137336,291.98898
137337,269.84937
137338,190.6224
137339,321.08743
137340,229.48131
137341,331.7651
137342,201.38818
137343,198.79208
137344,267.47556
137345,215.8875
137346,222.42242
137347,216.48068
137348,305.1353
137349,177.97462
137350,293.63736
137351,234.55362
137352,311.43234
137353,300.39508
137354,314.41876
137355,173.14742
137356,232.03456
137357,240.30873
137358,318.89636
137359,307.04907
137360,318.49258
137361,223.56277
137362,239.65762
137363,230.08698
137364,311.06552
137365,184.26762
137366,219.11945
137367,269.9263
137368,267.12006
137369,183.61063
137370,271.01358
137371,275.66992
137372,200.9716
137373,229.06117
137374,298.79977
137375,193.77216
137376,276.79147
137377,265.67038
137378,169.6581
137379,279.64648
137380,251.76389
137381,364.71698
137382,364.34808
137383,279.3304
137384,300.0963
137385,253.15154
137386,263.1551
137387,379.3011
137388,327.5774
137389,234.94347
137390,207.55717
137391,282.09903
137392,334.20047
137393,196.63809
137394,228.73431
137395,326.24515
137396,171.00941
137397,310.6201
137398,297.5057
137399,240.77083
137400,149.31622
137401,226.11815
137402,197.17836
137403,243.07722
137404,220.7713
137405,314.41876
137406,246.97168
137407,312.78186
137408,218.83476
137409,212.4843
137410,298.59384
137411,200.93616
137412,188.0314
137413,175.58241
137414,189.3579
137415,246.12003
137416,370.38495
137417,225.32596
137418,281.78992
137419,271.48495
137420,253.15154
137421,261.32318
137422,187.08163
137423,199.73927
137424,159.8161
137425,159.58821
137426,169.76617
137427,209.9316
137428,310.0904
137429,180.69757
137430,380.81827
137431,233.74591
137432,255.27635
137433,312.0715
137434,234.32234
137435,255.19193
137436,169.46259
137437,216.3368
137438,288.3534
137439,298.23758
137440,255.2641
137441,188.93735
137442,277.13116
137443,359.843
137444,177.53134
137445,246.97168
137446,163.45328
137447,298.50824
137448,214.07393
137449,293.70093
137450,287.8606
137451,289.80643
137452,293.83267
137453,289.15497
137454,216.3368
137455,319.36398
137456,233.36285
137457,204.38008
137458,213.62947
137459,182.67892
137460,217.61525
137461,182.0496
137462,281.78992
137463,235.2027
137464,281.90274
137465,304.34866
137466,216.3368
137467,190.6224
137468,162.02318
137469,243.07722
137470,169.9399
137471,239.65762
137472,316.42282
137473,235.10692
137474,153.37903
137475,297.2981
137476,198.29063
137477,244.26376
137478,233.53178
137479,228.87274
137480,253.15154
137481,172.6988
137482,280.34293
137483,169.1687
137484,292.7825
137485,268.35962
137486,157.31549
137487,227.44421
137488,174.643
137489,324.96823
137490,280.85977
137491,216.37035
137492,348.3236
137493,213.62947
137494,279.64648
137495,381.64563
137496,271.48495
137497,387.19873
137498,240.06564
137499,199.89922
137500,387.19873
137501,234.15402
137502,248.46692
137503,293.63736
137504,193.23616
137505,247.30159
137506,168.36446
137507,310.07352
137508,291.45944
137509,312.47668
137510,190.65681
137511,246.97168
137512,190.1772
137513,223.5595
137514,232.07315
137515,296.22748
137516,211.21335
137517,187.51164
137518,253.15154
137519,237.56615
137520,227.09984
137521,216.37035
137522,233.36285
137523,214.89432
137524,216.3368
137525,266.36713
137526,270.70697
137527,213.33093
137528,204.16913
137529,265.80017
137530,385.87033
137531,183.85503
137532,229.48131
137533,158.86623
137534,220.68315
137535,370.59384
137536,213.82251
137537,237.2296
137538,367.77972
137539,171.1125
137540,305.22202
137541,165.6427
137542,239.02502
137543,214.06577
137544,192.21391
137545,231.38565
137546,253.0369
137547,291.98898
137548,215.07352
137549,216.22906
137550,212.04114
137551,237.56615
137552,281.68246
137553,342.87143
137554,296.5409
137555,179.96529
137556,260.0215
137557,240.06564
137558,281.9143
137559,214.07393
137560,384.2338
137561,203.02422
137562,218.83476
137563,214.80193
137564,215.98091
137565,388.6988
137566,207.06271
137567,157.59312
137568,326.9253
137569,242.41075
137570,341.42166
137571,147.04074
137572,281.78992
137573,318.02948
137574,233.36285
137575,225.63264
137576,216.3368
137577,304.04263
137578,150.98105
137579,238.26978
137580,236.25984
137581,324.96823
137582,231.87953
137583,175.339
137584,308.6555
137585,159.58821
137586,337.08237
137587,169.6581
137588,163.45328
137589,221.82349
137590,286.07455
137591,157.91028
137592,224.09364
137593,255.19193
137594,310.6201
137595,243.082
137596,176.89787
137597,253.60304
137598,274.17386
137599,271.48495
137600,234.89978
137601,385.22433
137602,274.3285
137603,249.04526
137604,162.33754
137605,175.85391
137606,312.51657
137607,213.51755
137608,253.04272
137609,318.41595
137610,307.4724
137611,180.28574
137612,245.67705
137613,176.89787
137614,251.9606
137615,312.34372
137616,275.66992
137617,159.02979
137618,332.2198
137619,314.30768
137620,235.36737
137621,300.39508
137622,240.25586
137623,203.02422
137624,204.38008
137625,163.81099
137626,170.36505
137627,245.20374
137628,166.08217
137629,245.25876
137630,235.10692
137631,227.87009
137632,157.10388
137633,216.3368
137634,233.53178
137635,211.70201
137636,187.60681
137637,230.98512
137638,326.71722
137639,248.35213
137640,165.38632
137641,157.37912
137642,170.78722
137643,310.6201
137644,160.36755
137645,388.4726
137646,295.7213
137647,239.65762
137648,260.4926
137649,191.10887
137650,308.6555
137651,198.89671
137652,262.64157
137653,258.22278
137654,175.707
137655,307.4724
137656,235.33884
137657,285.1977
137658,290.53824
137659,170.05708
137660,215.45589
137661,391.7838
137662,323.48444
137663,335.90933
137664,335.90933
137665,312.0715
137666,172.5101
137667,327.73633
137668,271.48495
137669,180.48094
137670,296.22748
137671,264.6569
137672,261.1193
137673,330.02957
137674,237.2296
137675,180.69757
137676,241.78386
137677,172.68805
137678,266.19446
137679,347.97528
137680,179.96529
137681,266.71124
137682,234.55362
137683,207.28328
137684,157.10388
137685,387.88177
137686,266.65268
137687,318.08032
137688,169.6581
137689,253.15927
137690,150.98105
137691,204.74902
137692,223.20648
137693,200.93616
137694,311.82278
137695,303.17636
137696,255.19193
137697,357.2382
137698,198.29063
137699,337.36942
137700,295.7213
137701,277.57574
137702,248.35213
137703,166.88618
137704,183.61063
137705,275.66992
137706,289.15497
137707,176.89787
137708,193.66107
137709,204.03883
137710,296.54016
137711,318.02948
137712,165.6427
137713,197.90463
137714,335.90933
137715,318.56924
137716,215.62108
137717,226.33868
137718,159.8161
137719,155.94528
137720,211.87347
137721,387.19873
137722,223.95091
137723,253.15154
137724,249.8673
137725,255.88075
137726,276.11847
137727,173.42786
137728,326.9253
137729,298.60468
137730,255.72897
137731,159.73947
137732,332.8906
137733,216.3368
137734,187.12712
137735,232.07315
137736,277.03204
137737,237.56615
137738,334.20047
137739,330.03793
137740,172.68805
137741,223.5595
137742,215.98091
137743,324.96823
137744,260.5253
137745,161.19586
137746,311.91913
137747,200.24583
137748,262.7894
137749,278.67462
137750,311.82278
137751,233.36285
137752,255.19193
137753,230.98512
137754,243.80882
137755,227.43611
137756,241.69263
137757,360.28845
137758,221.90749
137759,208.15689
137760,207.7614
137761,270.07205
137762,310.6201
137763,310.84845
137764,235.37315
137765,159.90776
137766,234.32234
137767,162.33754
137768,189.43034
137769,241.78386
137770,293.83267
137771,327.73633
137772,235.18172
137773,174.40982
137774,240.30873
137775,203.30357
137776,198.29063
137777,203.84093
137778,216.37035
137779,303.99414
137780,174.40982
137781,190.1772
137782,211.63509
137783,348.3236
137784,216.37035
137785,220.04143
137786,253.63182
137787,269.28293
137788,188.12103
137789,218.23546
137790,215.17514
137791,215.22226
137792,281.9143
137793,300.39508
137794,234.55362
137795,325.61438
137796,238.34045
137797,322.38428
137798,259.67853
137799,249.04526
137800,215.24623
137801,301.73767
137802,230.81729
137803,165.38632
137804,301.07986
137805,215.07352
137806,157.10388
137807,381.64563
137808,268.5106
137809,276.76105
137810,388.75256
137811,204.42108
137812,368.62906
137813,248.15503
137814,255.5729
137815,242.5345
137816,227.76906
137817,174.643
137818,157.10388
137819,244.1069
137820,207.06271
137821,310.0904
137822,188.44516
137823,324.16046
137824,160.36755
137825,249.8673
137826,330.0461
137827,254.20193
137828,234.55362
137829,242.41075
137830,224.77211
137831,229.47963
137832,255.1734
137833,243.082
137834,240.30873
137835,211.1364
137836,169.1687
137837,218.62605
137838,219.86266
137839,346.65533
137840,398.30548
137841,233.53178
137842,162.38283
137843,281.5265
137844,234.98912
137845,229.47963
137846,225.63264
137847,237.56615
137848,190.1772
137849,160.90926
137850,266.71124
137851,228.30527
137852,172.68805
137853,204.74902
137854,239.81667
137855,348.29596
137856,388.68723
137857,162.33351
137858,161.73328
137859,330.03793
137860,157.51929
137861,280.93655
137862,204.74902
137863,358.31464
137864,233.36285
137865,296.54016
137866,222.69528
137867,326.9253
137868,176.33702
137869,210.33116
137870,227.76906
137871,238.34045
137872,277.79614
137873,296.5409
137874,207.28328
137875,172.93152
137876,230.98512
137877,210.43147
137878,312.30917
137879,308.6555
137880,180.69757
137881,161.45613
137882,379.28732
137883,204.92134
137884,203.37813
137885,272.26712
137886,286.9093
137887,211.94423
137888,205.21559
137889,173.51787
137890,139.4921
137891,312.0715
137892,239.65762
137893,215.07352
137894,304.34866
137895,162.93779
137896,201.7817
137897,313.6764
137898,228.30527
137899,223.56277
137900,199.40567
137901,201.54251
137902,369.98114
137903,290.53824
137904,282.80322
137905,276.54742
137906,291.45944
137907,280.09766
137908,188.93735
137909,232.03456
137910,171.94894
137911,231.66061
137912,190.36047
137913,233.80879
137914,248.35213
137915,283.1256
137916,245.49904
137917,224.69556
137918,298.23758
137919,271.60446
137920,214.07393
137921,211.96384
137922,276.76105
137923,310.6201
137924,280.97552
137925,208.15689
137926,188.19884
137927,190.1772
137928,295.278
137929,193.29283
137930,255.44258
137931,289.15497
137932,296.5409
137933,153.76741
137934,274.43774
137935,222.9658
137936,157.10388
137937,255.84892
137938,280.98676
137939,237.56615
137940,231.19707
137941,161.36716
137942,287.48593
137943,161.22443
137944,276.28885
137945,387.07684
137946,218.03278
137947,159.49556
137948,253.60861
137949,291.45944
137950,329.16104
137951,179.96529
137952,208.46617
137953,255.72897
137954,207.51338
137955,255.19193
137956,158.193
137957,268.40152
137958,276.74298
137959,243.082
137960,165.38632
137961,296.83267
137962,193.86473
137963,220.0067
137964,218.24658
137965,180.6827
137966,276.79147
137967,269.88882
137968,318.36673
137969,241.69263
137970,382.34653
137971,169.46259
137972,204.74902
137973,238.35786
137974,266.71124
137975,248.36813
137976,224.3134
137977,159.02979
137978,260.4926
137979,346.49057
137980,273.7949
137981,330.0461
137982,169.1687
137983,386.89865
137984,388.72168
137985,175.58241
137986,250.49217
137987,262.64157
137988,203.5311
137989,234.09448
137990,240.30873
137991,215.04126
137992,256.4945
137993,274.10095
137994,331.94278
137995,215.62108
137996,159.06476
137997,218.03278
137998,192.64136
137999,196.17415
138000,272.08078
138001,215.40836
138002,277.53226
138003,187.30461
138004,174.40982
138005,267.79846
138006,310.6201
138007,216.3368
138008,216.3368
138009,277.81638
138010,263.1745
138011,179.96529
138012,157.59312
138013,278.51828
138014,214.07393
138015,258.22278
138016,286.75122
138017,201.54251
138018,172.86983
138019,174.40982
138020,392.3806
138021,304.4539
138022,303.57635
138023,230.69597
138024,240.43112
138025,201.7817
138026,285.86932
138027,237.56615
138028,313.96774
138029,249.57797
138030,187.08163
138031,191.10887
138032,297.9547
138033,383.34366
138034,297.63162
138035,167.74507
138036,310.6201
138037,169.6581
138038,379.28732
138039,232.07315
138040,215.62108
138041,228.87274
138042,262.88074
138043,254.37914
138044,296.22748
138045,224.46361
138046,244.65962
138047,335.4713
138048,216.3368
138049,169.46259
138050,201.8383
138051,273.63916
138052,213.04422
138053,235.18172
138054,172.21002
138055,390.82742
138056,375.74545
138057,278.51828
138058,454.2682
138059,208.11473
138060,235.69997
138061,216.37035
138062,161.89212
138063,303.09573
138064,336.376
138065,384.34235
138066,238.63525
138067,172.21002
138068,387.19873
138069,234.89978
138070,172.21002
138071,204.6173
138072,255.19193
138073,154.27263
138074,388.76505
138075,221.6148
138076,211.769
138077,258.22278
138078,288.3456
138079,308.6555
138080,276.54742
138081,170.36505
138082,187.08163
138083,200.73558
138084,326.24515
138085,318.89636
138086,259.2045
138087,325.61438
138088,318.19913
138089,287.97015
138090,262.5196
138091,285.17303
138092,167.74507
138093,309.01187
138094,191.07054
138095,160.34523
138096,225.02849
138097,373.04483
138098,252.21542
138099,177.97462
138100,318.49258
138101,163.0874
138102,357.55252
138103,176.33702
138104,193.26164
138105,255.19193
138106,213.33093
138107,192.21573
138108,200.63353
138109,173.87244
138110,180.69757
138111,310.4936
138112,236.44
138113,278.6213
138114,276.46628
138115,277.0036
138116,211.72864
138117,226.00705
138118,264.32684
138119,173.51787
138120,312.30917
138121,161.45613
138122,261.32318
138123,227.76906
138124,245.2417
138125,187.11736
138126,230.98512
138127,171.88776
138128,204.09625
138129,181.5899
138130,219.54863
138131,246.97168
138132,312.34372
138133,345.61105
138134,157.04504
138135,269.28293
138136,237.56615
138137,203.95525
138138,248.35213
138139,201.90628
138140,219.57204
138141,257.88766
138142,276.54742
138143,165.70653
138144,383.6649
138145,196.88736
138146,233.59892
138147,214.07393
138148,249.04526
138149,237.56615
138150,222.82973
138151,296.9601
138152,152.62877
138153,218.47234
138154,230.81729
138155,375.74545
138156,312.0715
138157,251.03854
138158,211.63509
138159,246.97168
138160,232.07315
138161,275.66992
138162,231.05681
138163,266.71124
138164,237.28546
138165,201.38818
138166,196.17415
138167,386.89865
138168,276.23932
138169,256.62564
138170,311.91913
138171,244.04294
138172,320.77454
138173,265.5137
138174,252.5877
138175,245.20374
138176,275.66992
138177,234.76212
138178,255.19193
138179,276.28955
138180,348.4103
138181,274.17386
138182,213.62169
138183,228.80685
138184,228.73431
138185,189.20299
138186,387.7736
138187,216.29697
138188,234.13022
138189,302.78522
138190,232.07315
138191,281.5265
138192,245.61198
138193,211.76703
138194,237.49193
138195,356.9204
138196,312.78186
138197,281.78992
138198,175.9623
138199,253.24692
138200,160.94254
138201,196.63809
138202,244.65962
138203,278.4691
138204,239.39104
138205,172.21002
138206,325.61438
138207,255.19193
138208,218.71164
138209,177.33664
138210,258.22278
138211,316.40076
138212,239.91403
138213,233.53178
138214,268.78027
138215,221.73885
138216,234.89978
138217,270.70697
138218,276.12988
138219,276.21774
138220,269.7668
138221,157.85075
138222,311.91913
138223,165.31938
138224,240.30873
138225,224.69556
138226,253.0369
138227,243.5367
138228,295.52948
138229,261.32318
138230,233.53178
138231,253.98885
138232,272.45242
138233,234.83195
138234,242.91356
138235,209.94571
138236,237.46384
138237,377.4436
138238,251.68488
138239,381.64563
138240,187.75916
138241,199.57487
138242,255.27635
138243,208.15689
138244,223.56277
138245,239.09271
138246,257.88766
138247,276.79147
138248,156.94382
138249,240.16722
138250,313.79608
138251,185.119
138252,175.707
138253,177.94353
138254,235.10692
138255,242.30121
138256,300.39508
138257,193.29283
138258,204.74902
138259,152.25919
138260,181.00969
138261,195.23856
138262,225.63264
138263,214.26987
138264,336.51758
138265,252.88269
138266,162.02318
138267,255.19193
138268,239.52086
138269,196.88736
138270,230.98512
138271,155.51561
138272,245.2417
138273,236.32877
138274,310.6201
138275,218.57458
138276,168.70602
138277,239.36133
138278,234.32234
138279,214.07393
138280,381.53235
138281,163.0874
138282,283.3685
138283,223.20648
138284,307.95233
138285,307.4724
138286,211.94423
138287,204.74902
138288,227.76906
138289,170.40172
138290,159.90776
138291,312.0715
138292,200.24583
138293,233.80879
138294,273.3537
138295,233.74591
138296,207.06271
138297,287.39297
138298,173.3868
138299,223.12169
138300,232.03456
138301,222.05637
138302,220.04143
138303,306.17493
138304,157.51929
138305,272.14874
138306,346.6653
138307,213.59058
138308,240.30824
138309,218.54793
138310,295.45877
138311,235.33884
138312,226.33868
138313,262.60406
138314,326.24515
138315,316.7423
138316,212.38809
138317,335.90933
138318,240.76988
138319,180.6827
138320,317.90878
138321,280.85977
138322,222.69528
138323,233.53178
138324,265.03818
138325,213.33093
138326,231.87953
138327,234.43684
138328,253.04272
138329,227.56142
138330,326.9253
138331,316.93527
138332,202.96896
138333,236.41832
138334,293.74017
138335,345.49115
138336,208.17047
138337,233.53178
138338,215.75903
138339,309.41455
138340,155.56882
138341,163.47675
138342,191.41534
138343,215.22226
138344,214.59435
138345,279.8774
138346,237.45427
138347,347.2537
138348,276.13806
138349,233.53178
138350,294.24747
138351,201.38818
138352,116.324776
138353,210.66055
138354,246.08615
138355,231.57109
138356,229.86525
138357,255.19193
138358,222.69528
138359,266.26694
138360,313.67657
138361,290.85858
138362,219.86266
138363,216.48068
138364,299.41785
138365,230.81729
138366,318.89636
138367,337.36942
138368,244.17204
138369,227.76906
138370,295.7213
138371,224.69556
138372,223.56277
138373,240.43112
138374,268.1115
138375,335.90933
138376,308.6555
138377,353.73773
138378,234.13593
138379,370.0233
138380,180.69757
138381,369.89197
138382,222.05637
138383,274.8251
138384,220.68315
138385,265.80017
138386,261.1193
138387,257.76932
138388,231.19707
138389,311.91913
138390,220.71466
138391,261.0851
138392,249.8061
138393,245.2417
138394,235.18172
138395,230.18294
138396,325.61438
138397,202.3598
138398,169.6581
138399,307.57144
138400,234.08696
138401,243.082
138402,177.53134
138403,216.25713
138404,239.65762
138405,280.34293
138406,220.04143
138407,266.71124
138408,310.6201
138409,157.10388
138410,341.99457
138411,255.44258
138412,233.53178
138413,218.24838
138414,279.33618
138415,193.60928
138416,189.52411
138417,245.61198
138418,277.03204
138419,258.22278
138420,178.22018
138421,157.85075
138422,265.15726
138423,251.76389
138424,291.65628
138425,163.7145
138426,270.07205
138427,228.73431
138428,381.53235
138429,207.51338
138430,262.64157
138431,279.46844
138432,262.64157
138433,240.06564
138434,266.36713
138435,252.90228
138436,280.85977
138437,292.61398
138438,184.26762
138439,161.73328
138440,228.50119
138441,191.61867
138442,277.03204
138443,214.07393
138444,222.12486
138445,217.26593
138446,156.30435
138447,342.9806
138448,163.95299
138449,219.86266
138450,222.56583
138451,385.87033
138452,391.95752
138453,307.08575
138454,189.34715
138455,240.1819
138456,258.22278
138457,233.4024
138458,231.87953
138459,387.19873
138460,157.59312
138461,204.56082
138462,291.3597
138463,262.4853
138464,234.55362
138465,273.7949
138466,207.06271
138467,220.7713
138468,302.36273
138469,189.36292
138470,188.93735
138471,188.28723
138472,261.22528
138473,169.16011
138474,233.53178
138475,213.62947
138476,360.28845
138477,238.34045
138478,299.41785
138479,269.28293
138480,309.64633
138481,165.70653
138482,278.47388
138483,183.39932
138484,171.62468
138485,238.26978
138486,311.43234
138487,276.46628
138488,245.25876
138489,191.10887
138490,188.93735
138491,316.93527
138492,226.11815
138493,307.08575
138494,211.63509
138495,289.15497
138496,310.6201
138497,249.8673
138498,231.87953
138499,262.76596
138500,248.46692
138501,132.14229
138502,310.84845
138503,272.45242
138504,275.715
138505,251.078
138506,258.22278
138507,258.13666
138508,258.22278
138509,281.1784
138510,271.11652
138511,277.03204
138512,259.8104
138513,169.6581
138514,196.17415
138515,177.97462
138516,220.04143
138517,256.66003
138518,222.12486
138519,157.10388
138520,335.90933
138521,248.35213
138522,310.0904
138523,256.2444
138524,381.64563
138525,259.40436
138526,280.5454
138527,267.47446
138528,324.3109
138529,268.40152
138530,363.83447
138531,152.25919
138532,232.07315
138533,185.66249
138534,340.0888
138535,258.10867
138536,173.14742
138537,216.37035
138538,155.48672
138539,187.61375
138540,226.33868
138541,234.44394
138542,220.7713
138543,234.13022
138544,233.49165
138545,386.54874
138546,254.85216
138547,258.74838
138548,212.18126
138549,220.04143
138550,240.1819
138551,300.15125
138552,239.91403
138553,165.6427
138554,396.95258
