Id,CO2 Emissions(g/km)
137142,246.60548
137143,419.03012
137144,200.41408
137145,328.54355
137146,390.21097
137147,273.48874
137148,448.27304
137149,268.62198
137150,356.95633
137151,233.72641
137152,297.02322
137153,353.77966
137154,268.2353
137155,307.02997
137156,249.60307
137157,230.18787
137158,443.92487
137159,272.3732
137160,294.23593
137161,263.6159
137162,145.08614
137163,260.0335
137164,261.2355
137165,322.2411
137166,266.44775
137167,262.74164
137168,243.24562
137169,155.13937
137170,163.04327
137171,156.00908
137172,296.47443
137173,216.03702
137174,276.44977
137175,284.12723
137176,308.7295
137177,164.26791
137178,179.34885
137179,184.37094
137180,281.79822
137181,213.06372
137182,192.5141
137183,225.38202
137184,202.40598
137185,239.27272
137186,203.63895
137187,173.13298
137188,219.41164
137189,268.00427
137190,276.22678
137191,181.95464
137192,187.88304
137193,178.93555
137194,328.4897
137195,224.20958
137196,180.42778
137197,312.5841
137198,353.53506
137199,165.18341
137200,170.48238
137201,275.92123
137202,215.28433
137203,191.98856
137204,217.2181
137205,364.75226
137206,331.94107
137207,170.87115
137208,290.5768
137209,220.5956
137210,202.21718
137211,222.5739
137212,266.85788
137213,274.71832
137214,235.9408
137215,187.68887
137216,232.56796
137217,254.8757
137218,175.46658
137219,212.76021
137220,285.06384
137221,227.63098
137222,205.07552
137223,335.23145
137224,193.5873
137225,232.00444
137226,229.7737
137227,290.61978
137228,202.28111
137229,339.05286
137230,194.95093
137231,184.6695
137232,282.72336
137233,200.56189
137234,198.31622
137235,260.01062
137236,282.4676
137237,241.91217
137238,290.83716
137239,370.0228
137240,184.08638
137241,222.89323
137242,245.94093
137243,302.6977
137244,209.66417
137245,158.0491
137246,282.78897
137247,406.28638
137248,184.6788
137249,363.15607
137250,167.76231
137251,289.1736
137252,271.76132
137253,378.6007
137254,260.2006
137255,173.29623
137256,232.7391
137257,258.0734
137258,237.00041
137259,244.19667
137260,227.08612
137261,155.2729
137262,191.83871
137263,225.30179
137264,212.18967
137265,222.35368
137266,167.37257
137267,322.03177
137268,182.43202
137269,243.3647
137270,185.89229
137271,284.04935
137272,229.21947
137273,304.41248
137274,171.99557
137275,205.32573
137276,365.60815
137277,337.52786
137278,226.38733
137279,344.9809
137280,297.24585
137281,203.53503
137282,185.14262
137283,268.35077
137284,328.0212
137285,334.0906
137286,318.61548
137287,154.90219
137288,282.87616
137289,139.48233
137290,337.51797
137291,236.63646
137292,215.9838
137293,190.57245
137294,192.70908
137295,268.4164
137296,237.67464
137297,195.15216
137298,380.66537
137299,278.61444
137300,276.22678
137301,249.15685
137302,281.92252
137303,212.12813
137304,345.89432
137305,261.35837
137306,268.46884
137307,440.15546
137308,293.42566
137309,252.39685
137310,385.95596
137311,181.78598
137312,267.88617
137313,291.8603
137314,254.44936
137315,173.01112
137316,386.96024
137317,315.1233
137318,212.3843
